Autor;País;Nacimiento;Defunción;Cuentos
Pardo Bazán, Emilia;España;1851;1921;Accidente, Adriana, Agravante, Al buen callar..., Apostasía, Ardid de guerra, Arena, Argumento, Armamento, Aventura, Banquete de boda, Barbastro, Benito de Palermo, Bromita, Caso, Casualidad, Ceniza, Clave, ¿Cobardía?, Coleccionista, Comedia, Cometaria, Compatibles, Confidencia, Consuelos, Corpus, Crimen libre, Cuatro socialistas, Cuento de Navidad, Cuento inmoral, Cuento primitivo, Cuentos de amor (43 cuentos), Cuentos de la patria (10 cuentos), Cuentos de la tierra (43 cuentos), Cuentos de Marineda (9 cuentos), Cuentos de Navidad y Año Nuevo (3 cuentos), Cuentos de Navidad y Reyes (18 cuentos), Cuentos del terruño (19 cuentos), Cuentos dramáticos (37 cuentos), Cuentos nuevos (36 cuentos), Cuentos sacroprofanos (36 cuentos), Cuentos trágicos (27 cuentos), Cuesta abajo, Curado, Dalinda, De Navidad, De polizón, De un nido, De vieja raza, Desde afuera, Desde allí, Dioses, Doradores, Dos cenas, «Drago», «Dura Lex», Durante el entreacto, El ahogado, El aljófar, El alma de sirena, El antepasado, El árbol rosa, El aviso, El baile del Querubín, El Belén, El caballo blanco, El camafeo, El Catecismo, El ciego, El Cinco de Copas, El comadrón, El cuarto..., El décimo, El destino, El fondo del alma, El gemelo, El guardapelo, El gusanillo, El indulto, El mandil de cuero, El martirio de sor Bibiana, El mechón blanco, El milagro de la diosa Durga, El milagro del hermanuco, El molino, El montero, El niño de San Antonio, El oficio de difuntos, El pajarraco, El palacio de Artasar, El palacio frío, El pecado de Yemsid, El peligro del rostro, El peregrino, El pinar del tío Ambrosio, El Pozo de la Vida, El quinto, El revólver, El rizo del Nazareno, El rompecabezas, El ruido, El Santo Grial, El señor doctoral, El sino, El talismán, El tapiz, El templo, El tesoro, El tesoro de los Lagidas, El tetrarca en la aldea, El tornado, El torreón de la esperanza, El trueque, El vino del mar, El voto, El voto de Rosiña, El «Xeste», Elección, En el nombre del Padre..., En el Santo, En Semana Santa, En tranvía, En verso, Entrada de año, Entre razas, Evocación, Eximente, Fantasía, Fausto y Dafrosa, Fuego a bordo, Geórgicas, Hijo del alma, Historias y cuentos de Galicia (23 cuentos), Idilio, Infidelidad, Inspiración, Instinto, Interiores (20 cuentos), Inútil, Jesús en la Tierra, Jesusa, «Juan Trigo», Justiciero, La almohada, La amenaza, La argolla, La armadura, La aventura, «La Borgoñona», La bronceada, La calavera, «La Camarona», La cana, La capitana, La cena de Cristo, La centenaria, «La Chucha», La cita, La comedia piadosa, La «Compaña», La cruz negra, La cruz roja, La dentadura, La enfermera, La estéril, «La exangüe», La flor de la salud, La flor seca, La gota de cera, La hierba milagrosa, La leyenda de la torre, La lógica, La madrina, La mariposa de pedrería, La máscara, «La Mayorazga» de Bouzas, La moneda del mundo, La mosca verde, La Navidad de «Peludo», La niña mártir, La Nochebuena del carpintero, La Nochebuena del Papa, La operación, La oración de Semana Santa, La oreja de Juan Soldado (Cuento futuro), La palinodia, La paloma, La paloma negra, La pasarela, La paz, La penitencia de Dora, La puñalada, La redada, La reja, La resucitada, La risa, La rosa, La santa de Karnar, La sed de Cristo, La tentación de sor María, La tigresa, La ventana cerrada, La visión de los Reyes Magos, Las caras, Las cerezas, «Las desnudas», Las dos vengadoras, Las setas, Las tapias del Campo Santo, Las tijeras, Las veintisiete, Las vistas, Leliña, Ley natural, Linda, Los de entonces, Los hilos, Los huevos arrefalfados, Los Magos, Los padres del Santo, Madre, Madre gallega, Mansegura, Miguel y Jorge, Morrión y Boina, Náufragas, Nieto del Cid, Nochebuena del jugador, Nube de paso, Nuestro Señor de las Barbas, Ocho nueces, «Omnia Vincit», Oscuramente, Página suelta, Paracaídas, Pena de muerte, Piña, Planta montés, Poema humilde, Por dentro, Por el arte, Por otro, Posesión, Prejaspes, Que vengan aquí..., Recompensa, Reconciliación, Rosquilla de monja..., Saletita, «Santiago el Mudo», Santos Bueno, Sedano, Semilla heroica, Sequía, Siglo XIII, Sin respuesta, Sobremesa, Sueños regios, Suerte macabra, Sustitución, Tiempo de ánimas, Tío Terrones, Travesura Pontificia, Un destripador de antaño, Un duro falso, Vampiro, Vengadora, Vida nueva, Vidrio de colores, Viernes Santo, Vitorio, Vivo retrato, Vocación, Voz de la sangre, Zenana
Payno, Manuel;México;1810;1894;Amor secreto
Paz, Octavio;México;1914;1998;El ramo azul, Maravillas de la voluntad, Prisa
Pérez Galdós, Benito;España;1843;1920;¿Dónde está mi cabeza?, El don Juan, Rompecabezas
Pi y Margall, Francisco;España;1824;1901;El hurto
Piñera, Virgilio;Cuba;1912;1979;En el insomnio, La carne, Natación
Pitol, Sergio;México;1933;2018;Ícaro, La pantera, Victorio Ferri cuenta un cuento
Pocaterra, José Rafael;Venezuela;1889;1955;La casa de la bruja, Redención
Quiroga, Horacio;Uruguay;1878;1937;A la deriva, CUENTOS DE AMOR DE LOCURA Y DE MUERTE - Libro completo, CUENTOS DE LA SELVA - Libro completo, El alambre de púa, El almohadón de plumas, El balde, El conductor del rápido, El desierto, EL DESIERTO - Libro completo, El espectro, El gerente, El globo de fuego, El haschich, El hijo, El hombre muerto, El infierno artificial, El loro pelado, El paso del Yabebirí, El perro rabioso, El potro salvaje, El síncope blanco, El solitario, El vampiro, Historia de dos cachorros de coatí y de dos cachorros de hombre, Juan Darién, La abeja haragana, La gallina degollada, La gama ciega, La guerra de los yacarés, La insolación, La mancha hiptálmica, La meningitis y su sombra, La miel silvestre, La muerte de Isolda, La patria, La princesa bizantina, La tortuga gigante, Las medias de los flamencos, Las moscas, Las rayas, Las voces queridas que se han callado, Los bebedores de sangre, Los buques suicidantes, Los guantes de goma, Los mensú, Los ojos sombríos, Los pescadores de vigas, Más allá, Nuestro primer cigarro, Rea Silvia, Un idilio, Un peón, Una conquista, Una estación de amor, Una noche de edén, Yaguaí
Revueltas, José;México;1914;1976;Dios en la tierra, Hegel y yo
