Autor;País;Nacimiento;Defunción
Robbe-Grillet, Alain;Francia;1922;2008
Rodari, Gianni;Italia;1920;1980
Rodríguez Castelao, Alfonso;España;1886;1950
Rojas, Manuel;Chile;1896;1973
Romero de Terreros, Manuel;México;1880;1968
Rulfo, Juan;México;1918;1986
Ruyra, Joaquim;España;1858;1939
Sade, Marqués de;Francia;1740;1814
Saint-Exupéry, Antoine de;Francia;1900;1944
Saki;Escocés;1870;1916
Salarrué;El Salvador;1899;1975
Salinger, J. D.;Estados Unidos;1919;2010
Sand, George;Francia;1804;1876
Saramago, José;Portugal;1922;2010
Sartre, Jean-Paul;Francia;1905;1980
Schulz, Bruno;Polaco;1892;1942
Schwob, Marcel;Francia;1867;1905
Scott, Walter;Escocia;1771;1832
Sender, Ramón J.;España;1901;1982
Shelly, Mary;Inglaterra;1797;1851
Sholojov, Mijail;Rusia;1893;1985
Simenon, Georges;Bélgica;1903;1989
Sinán, Rogelio;Panamá;1902;1994
Sinclair, May;Inglaterra;1863;1946
Smith, Clark Ashton;Estados Unidos;1893;1961
Soto, Pedro Juan;Puerto Rico;1928;2002
Stendhal;Francia;1783;1842
Sternberg, Jacques;Bélgica;1923;2006
Stevenson, Robert Louis;Escocia;1850;1894
Stoker, Bram;Irlanda;1847;1912
Storm, Theodor;Alemán;1817;1888
Tagore, Rabindranath;India;1861;1941
Tapia y Rivera, Alejandro;Puerto Rico;1826;1882
Thomas, Dylan;Gales;1914;1953
Thurber, James;Estados Unidos;1894;1961
Tolstoi, León;Rusia;1828;1910
Torri, Julio;México;1889;1970
Trigo, Felipe;España;1864;1916
Turgueniev, Iván;Rusia;1818;1883
Twain, Mark;Estados Unidos;1835;1910
Unamuno, Miguel de;España;1864;1936
Úslar Pietri, Arturo;Venezuela;1906;2001
Valadés, Edmundo;México;1915;1994
Valera, Juan;España;1824;1905
Valle Inclán, Ramón del;España;1866;1936
Verga, Giovanni;Italia;1840;1922
Verne, Julio;Francia;1828;1905
Viana, Javier de;Uruguay;1868;1926
Vigny, Alfred de;Francia;1797;1863
Villiers de L'Isle Adam;Francia;1838;1889
Voltaire;Francia;1694;1778
Walsh, Rodolfo;Argentina;1927;1977
Waugh, Evelyn;Inglaterra;1903;1966
Wells, H.G.;Inglaterra;1866;1946
Wilcock, Juan Rodolfo;Argentina;1919;1978
Wilde, Oscar;Irlanda;1854;1900
Williams, Tennessee;Estados Unidos;1911;1983
Woolf, Virginia;Inglaterra;1882;1941
Yourcenar, Marguerite;Bélgica;1903;1987
Zayas, María de;España;1590;1661
Zola, Émile;Francia;1840;1902
Zorrilla, José;España;1817;1893
Zweig, Stefan;Austria;1881;1942
